"","sex","age","race","education","PID","PID7","partisan","ascent_D","ascent_R","therm_D","therm_R","meta_prejudice","meta_dehum","political_threats","political_harassment","political_violence","toxic","experiment","version","target_party","condition"
"331","Male","51+","Hispanic or Latino/a","Associate Degree","Lean Democrat",3,1,43,29,67,57," Somewhat agree"," Somewhat agree",4,3,3,10,"DCG","Graph","Democrat","Control"
"332","Male","41-45","Asian or Asian American","Bachelor's Degree","Independent",4,0,75,75,70,61," Somewhat agree"," Somewhat agree",1,1,1,3,"DTV","Vignette","Democrat","Treatment"
"333","Male","26-30","Asian or Asian American","Master's Degree","Independent",4,0,82,85,87,84," Somewhat agree"," Somewhat agree",4,3,NA,NA,"DCG","Graph","Democrat","Control"
"334","Male","31-35","Asian or Asian American","Bachelor's Degree","Strong Republican",7,1,87,97,98,92,"Somewhat agree ","Strongly agree ",3,3,NA,NA,"RTI","Image","Republican","Treatment"
"335","Male","31-35","Asian or Asian American","Bachelor's Degree","Strong Democrat",1,1,78,80,74,80," Agree"," Strongly agree",3,4,4,11,"DTV","Vignette","Democrat","Treatment"
"336","Female","51+","White","Bachelor's Degree","Lean Democrat",3,1,50,93,81,32," Agree"," Disagree",1,1,1,3,"DTG","Graph","Democrat","Treatment"
"337","Male","31-35","Asian or Asian American","Bachelor's Degree","Independent",4,0,92,82,87,94," Agree"," Strongly agree",1,2,2,5,"DTG","Graph","Democrat","Treatment"
"338","Male","31-35","Asian or Asian American","Bachelor's Degree","Independent",4,0,80,95,94,88,"Agree ","Strongly agree ",1,2,2,5,"RCG","Graph","Republican","Control"
"339","Male","26-30","American Indian or Alaska Native","Master's Degree","Democrat",2,1,96,88,90,95," Strongly agree"," Agree",3,3,4,10,"DTV","Vignette","Democrat","Treatment"
"340","Male","26-30","Asian or Asian American","Bachelor's Degree","Democrat",2,1,70,77,75,70," Somewhat disagree"," Neither agree nor disagree",3,2,3,8,"DCV","Vignette","Democrat","Control"
"341","Male","18-25","Asian or Asian American","Bachelor's Degree","Independent",4,0,85,75,70,80," Neither agree nor disagree"," Somewhat agree",3,2,2,7,"DTI","Image","Democrat","Treatment"
"342","Male","31-35","Hispanic or Latino/a,Asian or Asian American","Bachelor's Degree","Republican",6,1,61,89,60,87,"Neither agree nor disagree ","Somewhat agree ",2,3,2,7,"RCV","Vignette","Republican","Control"
"343","Male","26-30","Hispanic or Latino/a","Some college credit, no degree","Democrat",2,1,95,10,75,5," Agree"," Agree",1,1,1,3,"DTG","Graph","Democrat","Treatment"
"344","Male","18-25","Asian or Asian American","Bachelor's Degree","Republican",6,1,43,55,32,49,"Somewhat agree ","Agree ",3,3,3,9,"RCI","Image","Republican","Control"
"345","Male","31-35","Asian or Asian American","Bachelor's Degree","Independent",4,0,82,90,94,84,"Agree ","Strongly agree ",1,2,2,5,"RCV","Vignette","Republican","Control"
"346","Male","31-35","Asian or Asian American","Bachelor's Degree","Strong Democrat",1,1,77,73,73,79," Agree"," Strongly agree",3,4,4,11,"DCG","Graph","Democrat","Control"
"347","Male","41-45","White","Bachelor's Degree","Democrat",2,1,91,62,68,85," Strongly agree"," Agree",3,2,4,9,"DTG","Graph","Democrat","Treatment"
"348","Male","31-35","Asian or Asian American","Bachelor's Degree","Strong Republican",7,1,92,100,98,90,"Somewhat agree ","Strongly agree ",4,3,NA,NA,"RCI","Image","Republican","Control"
"349","Male","26-30","Asian or Asian American","Bachelor's Degree","Democrat",2,1,86,78,76,72," Neither agree nor disagree"," Neither agree nor disagree",1,2,1,4,"DTI","Image","Democrat","Treatment"
"350","Male","31-35","Asian or Asian American","Master's Degree","Democrat",2,1,63,82,81,69," Neither agree nor disagree"," Agree",4,3,4,11,"DTI","Image","Democrat","Treatment"
"351","Female","31-35","Black or African American","Bachelor's Degree","Lean Democrat",3,1,49,29,60,32," Somewhat agree"," Disagree",1,1,1,3,"DTI","Image","Democrat","Treatment"
"352","Prefer not to say","51+","White","Bachelor's Degree","Independent",4,0,25,25,1,1," Strongly agree"," Neither agree nor disagree",1,1,1,3,"DTV","Vignette","Democrat","Treatment"
"353","Male","26-30","Asian or Asian American","Master's Degree","Independent",4,0,77,77,71,82,"Somewhat agree ","Somewhat agree ",3,4,4,11,"RTI","Image","Republican","Treatment"
"354","Female","26-30","Hispanic or Latino/a","Bachelor's Degree","Lean Republican",5,1,90,90,53,81,"Somewhat agree ","Disagree ",1,1,1,3,"RTI","Image","Republican","Treatment"
"355","Female","36-40","Asian or Asian American","Bachelor's Degree","Independent",4,0,90,85,75,50," Somewhat agree"," Somewhat agree",1,1,1,3,"DTV","Vignette","Democrat","Treatment"
"356","Female","36-40","White,American Indian or Alaska Native","Bachelor's Degree","Strong Democrat",1,1,49,69,76,58," Somewhat disagree"," Agree",3,4,3,10,"DTG","Graph","Democrat","Treatment"
"357","Male","26-30","White","Bachelor's Degree","Democrat",2,1,58,27,46,16," Agree"," Strongly agree",2,2,3,7,"DCG","Graph","Democrat","Control"
"358","Male","26-30","White","Master's Degree","Strong Democrat",1,1,72,56,53,67," Agree"," Agree",2,3,2,7,"DCI","Image","Democrat","Control"
"359","Male","36-40","Hispanic or Latino/a","Bachelor's Degree","Strong Democrat",1,1,87,17,89,29," Agree"," Disagree",2,1,2,5,"DTI","Image","Democrat","Treatment"
"360","Male","31-35","Asian or Asian American","Bachelor's Degree","Independent",4,0,77,88,88,78,"Agree ","Strongly agree ",1,2,3,6,"RTV","Vignette","Republican","Treatment"
"361","Male","26-30","American Indian or Alaska Native","Master's Degree","Democrat",2,1,97,92,92,96," Strongly agree"," Agree",3,4,4,11,"DCG","Graph","Democrat","Control"
"362","Male","31-35","Asian or Asian American","Bachelor's Degree","Lean Republican",5,1,100,100,64,84,"Strongly agree ","Neither agree nor disagree ",3,3,4,10,"RTG","Graph","Republican","Treatment"
"363","Male","31-35","Asian or Asian American","Bachelor's Degree","Democrat",2,1,100,100,69,79," Strongly agree"," Somewhat agree",3,2,3,8,"DTG","Graph","Democrat","Treatment"
"364","Male","26-30","Hispanic or Latino/a","Bachelor's Degree","Democrat",2,1,80,40,90,60," Somewhat agree"," Disagree",3,2,4,9,"DCI","Image","Democrat","Control"
"365","Male","36-40","White","Bachelor's Degree","Republican",6,1,92,100,47,100,"Agree ","Somewhat agree ",1,1,1,3,"RCV","Vignette","Republican","Control"
"366","Male","31-35","White","High school graduate, diploma or the equivalent","Democrat",2,1,100,100,50,60," Strongly agree"," Agree",1,1,1,3,"DTG","Graph","Democrat","Treatment"
"367","Female","41-45","White","Master's Degree","Lean Democrat",3,1,96,69,95,4," Strongly agree"," Somewhat agree",1,1,1,3,"DTI","Image","Democrat","Treatment"
"368","Male","36-40","White","Bachelor's Degree","Democrat",2,1,94,71,83,41," Neither agree nor disagree"," Somewhat agree",2,2,3,7,"DTG","Graph","Democrat","Treatment"
"369","Male","26-30","Asian or Asian American","Bachelor's Degree","Strong Democrat",1,1,43,53,41,80," Strongly agree"," Agree",1,2,1,4,"DCI","Image","Democrat","Control"
"370","Male","31-35","Asian or Asian American","Bachelor's Degree","Strong Republican",7,1,90,98,96,90,"Somewhat agree ","Strongly agree ",4,3,NA,NA,"RCI","Image","Republican","Control"
"371","Male","26-30","Asian or Asian American","Bachelor's Degree","Democrat",2,1,95,66,54,71," Agree"," Somewhat disagree",1,2,1,4,"DTG","Graph","Democrat","Treatment"
"372","Female","18-25","White","Some college credit, no degree","Strong Democrat",1,1,93,0,100,0," Strongly agree"," Strongly agree",1,1,1,3,"DTI","Image","Democrat","Treatment"
"373","Female","26-30","White","Associate Degree","Independent",4,0,58,82,41,68,"Agree ","Somewhat agree ",2,2,2,6,"RTI","Image","Republican","Treatment"
"374","Female","51+","White","","Independent",4,0,52,98,51,62,"Neither agree nor disagree ","Neither agree nor disagree ",2,3,4,9,"RTG","Graph","Republican","Treatment"
"375","Male","41-45","Asian or Asian American","Bachelor's Degree","Independent",4,0,100,100,50,50,"Agree ","Agree ",1,1,1,3,"RTG","Graph","Republican","Treatment"
"376","Female","36-40","White","Bachelor's Degree","Democrat",2,1,82,57,60,82," Agree"," Somewhat agree",3,2,3,8,"DCG","Graph","Democrat","Control"
"377","Male","31-35","Asian or Asian American","Associate Degree","Democrat",2,1,100,100,50,15," Somewhat agree"," Neither agree nor disagree",1,1,1,3,"DTV","Vignette","Democrat","Treatment"
"378","Male","31-35","White","Bachelor's Degree","Democrat",2,1,100,4,99,6," Strongly agree"," Agree",3,2,2,7,"DTG","Graph","Democrat","Treatment"
"379","Male","26-30","White","Master's Degree","Lean Republican",5,1,53,75,60,38,"Agree ","Neither agree nor disagree ",2,2,3,7,"RCV","Vignette","Republican","Control"
"380","Male","26-30","Asian or Asian American","Bachelor's Degree","Independent",4,0,60,60,68,77,"Somewhat agree ","Neither agree nor disagree ",2,3,3,8,"RCI","Image","Republican","Control"
"381","Male","36-40","White","Bachelor's Degree","Democrat",2,1,70,70,70,20," Agree"," Somewhat agree",1,1,1,3,"DCG","Graph","Democrat","Control"
"382","Male","26-30","Asian or Asian American","Bachelor's Degree","Republican",6,1,68,99,85,72,"Somewhat disagree ","Neither agree nor disagree ",2,3,2,7,"RTV","Vignette","Republican","Treatment"
"383","Male","51+","White","Some college credit, no degree","Independent",4,0,5,40,4,40,"Strongly agree ","Strongly agree ",1,1,1,3,"RCV","Vignette","Republican","Control"
"384","Male","36-40","White","Some college credit, no degree","Independent",4,0,93,93,23,24,"Agree ","Somewhat disagree ",2,2,2,6,"RTV","Vignette","Republican","Treatment"
"385","Male","31-35","Asian or Asian American","Master's Degree","Democrat",2,1,94,52,91,54," Agree"," Neither agree nor disagree",2,3,4,9,"DTV","Vignette","Democrat","Treatment"
"386","Female","41-45","Asian or Asian American","Master's Degree","Democrat",2,1,83,75,72,82," Agree"," Agree",1,1,1,3,"DTV","Vignette","Democrat","Treatment"
"387","Male","31-35","White","Bachelor's Degree","Democrat",2,1,97,90,70,20," Agree"," Neither agree nor disagree",1,1,1,3,"DCI","Image","Democrat","Control"
"388","Male","31-35","Hispanic or Latino/a","High school graduate, diploma or the equivalent","Republican",6,1,100,100,5,92,"Strongly agree ","Strongly agree ",1,1,1,3,"RTV","Vignette","Republican","Treatment"
"389","Male","31-35","White","Master's Degree","Democrat",2,1,61,70,73,62," Agree"," Agree",2,3,2,7,"DTV","Vignette","Democrat","Treatment"
"390","Male","26-30","White","Bachelor's Degree","Democrat",2,1,72,77,85,78," Strongly agree"," Agree",4,3,4,11,"DTV","Vignette","Democrat","Treatment"
"391","Female","31-35","Asian or Asian American","Bachelor's Degree","Independent",4,0,86,94,89,83,"Agree ","Strongly agree ",2,1,3,6,"RTI","Image","Republican","Treatment"
"392","Male","26-30","Hispanic or Latino/a","Bachelor's Degree","Republican",6,1,75,25,70,30,"Agree ","Somewhat disagree ",2,3,NA,NA,"RCV","Vignette","Republican","Control"
"393","Male","46-50","White","Master's Degree","Strong Democrat",1,1,73,48,57,67," Somewhat agree"," Somewhat agree",2,3,2,7,"DTI","Image","Democrat","Treatment"
"394","Male","31-35","White","High school graduate, diploma or the equivalent","Democrat",2,1,99,98,70,20," Strongly agree"," Somewhat agree",1,1,1,3,"DTI","Image","Democrat","Treatment"
"395","Male","26-30","Asian or Asian American","Master's Degree","Independent",4,0,38,58,50,52,"Neither agree nor disagree ","Neither agree nor disagree ",2,2,3,7,"RTG","Graph","Republican","Treatment"
"396","Male","26-30","Asian or Asian American","Bachelor's Degree","Lean Republican",5,1,85,95,99,88,"Agree ","Strongly agree ",2,3,3,8,"RTI","Image","Republican","Treatment"
"397","Male","31-35","Asian or Asian American","Bachelor's Degree","Strong Democrat",1,1,84,81,77,85," Agree"," Strongly agree",3,4,4,11,"DCI","Image","Democrat","Control"
"398","Male","36-40","Asian or Asian American","Some college credit, no degree","Lean Democrat",3,1,65,25,64,28," Agree"," Somewhat agree",1,1,1,3,"DCV","Vignette","Democrat","Control"
"399","Male","51+","White","High school graduate, diploma or the equivalent","Strong Democrat",1,1,100,0,100,0," Strongly agree"," Strongly agree",1,1,1,3,"DCI","Image","Democrat","Control"
"400","Male","26-30","White","Bachelor's Degree","Strong Republican",7,1,15,100,5,100,"Agree ","Somewhat agree ",2,3,4,9,"RTI","Image","Republican","Treatment"
"401","Male","26-30","Asian or Asian American","Bachelor's Degree","Independent",4,0,85,63,49,71,"Somewhat agree ","Disagree ",2,2,1,5,"RCI","Image","Republican","Control"
"402","Female","31-35","Asian or Asian American","Master's Degree","Independent",4,0,34,48,32,22,"Somewhat agree ","Neither agree nor disagree ",2,3,3,8,"RCV","Vignette","Republican","Control"
"403","Female","18-25","Asian or Asian American","Bachelor's Degree","Democrat",2,1,100,100,80,41," Agree"," Somewhat disagree",1,1,1,3,"DCG","Graph","Democrat","Control"
"404","Female","26-30","Asian or Asian American","Master's Degree","Democrat",2,1,40,36,66,47," Neither agree nor disagree"," Somewhat agree",2,3,2,7,"DTV","Vignette","Democrat","Treatment"
"405","Female","26-30","Asian or Asian American","Bachelor's Degree","Strong Democrat",1,1,52,54,38,52," Strongly agree"," Agree",1,2,3,6,"DTG","Graph","Democrat","Treatment"
"406","Male","26-30","White","Some college credit, no degree","Independent",4,0,80,65,80,65,"Somewhat agree ","Somewhat agree ",1,1,1,3,"RTI","Image","Republican","Treatment"
"407","Female","26-30","White","High school graduate, diploma or the equivalent","Lean Democrat",3,1,100,100,41,32," Strongly agree"," Strongly agree",1,1,1,3,"DCG","Graph","Democrat","Control"
"408","Male","","Asian or Asian American","Bachelor's Degree","Strong Democrat",1,1,73,70,73,82," Agree"," Strongly agree",3,3,4,10,"DCI","Image","Democrat","Control"
"409","Male","18-25","Hispanic or Latino/a","Bachelor's Degree","Lean Democrat",3,1,100,100,81,81," Agree"," Agree",2,3,3,8,"DTI","Image","Democrat","Treatment"
"410","Male","31-35","White","Associate Degree","Independent",4,0,100,96,55,5,"Somewhat agree ","Strongly disagree ",1,1,1,3,"RCG","Graph","Republican","Control"
"411","Female","26-30","Asian or Asian American","Bachelor's Degree","Strong Democrat",1,1,82,68,70,80," Agree"," Strongly agree",2,2,2,6,"DTV","Vignette","Democrat","Treatment"
"412","Male","26-30","American Indian or Alaska Native","Bachelor's Degree","Strong Democrat",1,1,76,95,35,61," Strongly agree"," Strongly agree",2,3,3,8,"DTG","Graph","Democrat","Treatment"
"413","Male","36-40","White","Bachelor's Degree","Independent",4,0,26,45,57,51,"Neither agree nor disagree ","Agree ",2,3,2,7,"RCI","Image","Republican","Control"
"414","Female","26-30","Asian or Asian American","Bachelor's Degree","Independent",4,0,87,64,59,78," Agree"," Strongly agree",3,3,4,10,"DCV","Vignette","Democrat","Control"
"415","Male","31-35","Asian or Asian American","Associate Degree","Independent",4,0,41,71,33,54,"Agree ","Somewhat disagree ",2,2,2,6,"RTV","Vignette","Republican","Treatment"
"416","Female","26-30","White","Bachelor's Degree","Democrat",2,1,77,60,82,65," Neither agree nor disagree"," Somewhat agree",2,3,3,8,"DCI","Image","Democrat","Control"
"417","Male","26-30","Asian or Asian American","Bachelor's Degree","Democrat",2,1,100,50,100,50," Somewhat agree"," Somewhat agree",1,1,NA,NA,"DCV","Vignette","Democrat","Control"
"418","Female","18-25","Asian or Asian American","Bachelor's Degree","Strong Republican",7,1,65,97,68,92,"Somewhat disagree ","Somewhat agree ",2,3,2,7,"RTV","Vignette","Republican","Treatment"
"419","Female","31-35","Asian or Asian American","Bachelor's Degree","Lean Democrat",3,1,80,24,67,17," Strongly agree"," Strongly agree",1,1,1,3,"DCV","Vignette","Democrat","Control"
"420","Female","31-35","Hispanic or Latino/a","Master's Degree","Democrat",2,1,42,54,76,68," Neither agree nor disagree"," Neither agree nor disagree",2,3,3,8,"DTG","Graph","Democrat","Treatment"
"421","Non-binary / third gender","31-35","Black or African American","High school graduate, diploma or the equivalent","Lean Democrat",3,1,100,100,50,25," Strongly agree"," Strongly agree",1,1,2,4,"DTG","Graph","Democrat","Treatment"
"422","Female","18-25","White","Some college credit, no degree","Republican",6,1,54,78,36,91,"Agree ","Somewhat agree ",2,2,1,5,"RTI","Image","Republican","Treatment"
"423","Female","31-35","White","Master's Degree","Republican",6,1,44,71,70,94,"Agree ","Neither agree nor disagree ",3,4,3,10,"RCI","Image","Republican","Control"
"424","Female","31-35","Hispanic or Latino/a","Bachelor's Degree","Democrat",2,1,70,30,40,60," Somewhat agree"," Somewhat disagree",3,2,NA,NA,"DTV","Vignette","Democrat","Treatment"
"425","Female","26-30","White","Bachelor's Degree","Democrat",2,1,86,79,69,91," Agree"," Neither agree nor disagree",2,3,2,7,"DTV","Vignette","Democrat","Treatment"
"426","Male","51+","Asian or Asian American","High school graduate, diploma or the equivalent","Democrat",2,1,100,5,100,1," Strongly agree"," Strongly agree",4,4,1,9,"DTV","Vignette","Democrat","Treatment"
"427","Male","26-30","Hispanic or Latino/a","High school graduate, diploma or the equivalent","Independent",4,0,100,100,50,10,"Strongly agree ","Strongly disagree ",1,1,1,3,"RTV","Vignette","Republican","Treatment"
"428","Female","51+","White","Bachelor's Degree","Democrat",2,1,84,66,88,69," Somewhat agree"," Neither agree nor disagree",2,2,3,7,"DCG","Graph","Democrat","Control"
"429","Male","31-35","Black or African American","Master's Degree","Democrat",2,1,64,45,46,46," Agree"," Somewhat agree",2,3,2,7,"DCI","Image","Democrat","Control"
"430","Male","31-35","Asian or Asian American","Bachelor's Degree","Independent",4,0,92,76,80,90," Agree"," Strongly agree",2,1,3,6,"DCV","Vignette","Democrat","Control"
"431","Male","26-30","White","Some college credit, no degree","Independent",4,0,100,100,50,50,"Somewhat agree ","Somewhat agree ",1,1,1,3,"RCV","Vignette","Republican","Control"
"432","Male","18-25","Asian or Asian American","High school graduate, diploma or the equivalent","Lean Democrat",3,1,87,75,66,73," Neither agree nor disagree"," Neither agree nor disagree",3,2,4,9,"DCI","Image","Democrat","Control"
"433","Male","26-30","Asian or Asian American","Bachelor's Degree","Independent",4,0,55,60,50,49,"Somewhat agree ","Somewhat agree ",1,1,1,3,"RTG","Graph","Republican","Treatment"
"434","Male","31-35","Asian or Asian American","Bachelor's Degree","Strong Democrat",1,1,88,87,74,77," Agree"," Strongly agree",3,4,4,11,"DTI","Image","Democrat","Treatment"
"435","Male","31-35","Asian or Asian American","Bachelor's Degree","Strong Democrat",1,1,88,75,76,72," Agree"," Strongly agree",3,4,3,10,"DCG","Graph","Democrat","Control"
"436","Female","26-30","White","Associate Degree","Lean Democrat",3,1,90,45,70,34," Agree"," Somewhat agree",3,3,3,9,"DTV","Vignette","Democrat","Treatment"
"437","Male","26-30","Asian or Asian American","Bachelor's Degree","Republican",6,1,56,70,76,54,"Agree ","Somewhat agree ",2,2,3,7,"RTI","Image","Republican","Treatment"
"438","Male","51+","White","Bachelor's Degree","Democrat",2,1,83,59,81,63," Somewhat agree"," Somewhat agree",2,3,3,8,"DTI","Image","Democrat","Treatment"
"439","Male","41-45","White","High school graduate, diploma or the equivalent","Lean Democrat",3,1,34,0,30,0," Strongly agree"," Strongly agree",1,1,1,3,"DCI","Image","Democrat","Control"
"440","Male","26-30","Asian or Asian American","Bachelor's Degree","Independent",4,0,39,41,56,68,"Somewhat agree ","Somewhat agree ",2,3,2,7,"RTG","Graph","Republican","Treatment"
"441","Male","18-25","Hispanic or Latino/a","Bachelor's Degree","Independent",4,0,63,30,50,30,"Strongly agree ","Strongly agree ",1,1,1,3,"RCV","Vignette","Republican","Control"
"442","Female","26-30","White","Bachelor's Degree","Democrat",2,1,16,31,10,29," Agree"," Somewhat agree",2,3,3,8,"DCV","Vignette","Democrat","Control"
"443","Female","31-35","White","Master's Degree","Democrat",2,1,100,91,44,63," Agree"," Strongly agree",3,3,1,7,"DCV","Vignette","Democrat","Control"
"444","Female","18-25","Hispanic or Latino/a","Bachelor's Degree","Democrat",2,1,51,36,25,50," Agree"," Somewhat agree",2,3,3,8,"DTV","Vignette","Democrat","Treatment"
"445","Female","26-30","Asian or Asian American","Bachelor's Degree","Strong Democrat",1,1,90,80,75,90," Strongly agree"," Agree",2,2,3,7,"DCV","Vignette","Democrat","Control"
"446","Male","26-30","White","Master's Degree","Democrat",2,1,88,75,75,77," Strongly agree"," Strongly agree",4,2,4,10,"DCV","Vignette","Democrat","Control"
"447","Female","41-45","Black or African American","Doctorate Degree","Independent",4,0,54,27,62,18," Somewhat agree"," Strongly agree",1,1,1,3,"DCV","Vignette","Democrat","Control"
"448","Female","26-30","White","Bachelor's Degree","Lean Democrat",3,1,80,21,81,20," Neither agree nor disagree"," Neither agree nor disagree",1,1,1,3,"DCI","Image","Democrat","Control"
"449","Male","41-45","White","Bachelor's Degree","Democrat",2,1,75,50,80,10," Agree"," Agree",1,1,1,3,"DCG","Graph","Democrat","Control"
"450","Female","26-30","White","Bachelor's Degree","Lean Republican",5,1,40,50,40,50,"Agree ","Agree ",1,1,1,3,"RTV","Vignette","Republican","Treatment"
"451","Female","51+","White","Bachelor's Degree","Democrat",2,1,91,41,88,60," Neither agree nor disagree"," Somewhat agree",3,3,3,9,"DTV","Vignette","Democrat","Treatment"
"452","Male","26-30","Asian or Asian American","Bachelor's Degree","Republican",6,1,96,100,98,95,"Agree ","Strongly agree ",2,3,3,8,"RCI","Image","Republican","Control"
"453","Female","41-45","White","Master's Degree","Strong Republican",7,1,3,96,6,97,"Agree ","Strongly agree ",1,1,1,3,"RTG","Graph","Republican","Treatment"
"454","Male","51+","White","Master's Degree","Lean Republican",5,1,100,100,0,1,"Agree ","Agree ",2,2,1,5,"RTI","Image","Republican","Treatment"
"455","Male","31-35","White","Bachelor's Degree","Democrat",2,1,97,71,93,50," Somewhat agree"," Neither agree nor disagree",3,2,3,8,"DCG","Graph","Democrat","Control"
"456","Female","26-30","Black or African American","Master's Degree","Independent",4,0,43,31,30,40," Somewhat agree"," Somewhat agree",2,2,3,7,"DCV","Vignette","Democrat","Control"
"457","Female","18-25","Asian or Asian American","Bachelor's Degree","Republican",6,1,65,100,77,94,"Agree ","Agree ",3,3,4,10,"RCG","Graph","Republican","Control"
"458","Female","41-45","White","Associate Degree","Lean Democrat",3,1,100,98,70,29," Strongly agree"," Strongly agree",1,1,1,3,"DCV","Vignette","Democrat","Control"
"459","Male","31-35","Asian or Asian American","Bachelor's Degree","Democrat",2,1,95,60,80,50," Disagree"," Neither agree nor disagree",2,3,2,7,"DCG","Graph","Democrat","Control"
"460","Female","31-35","White","Master's Degree","Republican",6,1,53,88,65,91,"Agree ","Somewhat agree ",3,4,3,10,"RTV","Vignette","Republican","Treatment"
"461","Female","31-35","White","Bachelor's Degree","Strong Republican",7,1,26,98,21,99,"Agree ","Neither agree nor disagree ",3,2,3,8,"RCV","Vignette","Republican","Control"
"462","Male","31-35","White","Bachelor's Degree","Democrat",2,1,96,87,83,96," Strongly agree"," Strongly agree",3,3,4,10,"DTG","Graph","Democrat","Treatment"
"463","Male","31-35","White","Bachelor's Degree","Strong Democrat",1,1,61,39,43,57," Agree"," Agree",2,1,2,5,"DCI","Image","Democrat","Control"
"464","Female","31-35","Black or African American","Doctorate Degree","Democrat",2,1,90,90,100,50," Strongly agree"," Somewhat agree",1,1,1,3,"DCG","Graph","Democrat","Control"
"465","Female","46-50","White","Master's Degree","Republican",6,1,73,33,76,51,"Somewhat agree ","Agree ",3,2,3,8,"RTG","Graph","Republican","Treatment"
"466","Female","51+","White","Master's Degree","Strong Democrat",1,1,100,100,90,1," Somewhat agree"," Strongly disagree",1,1,1,3,"DCI","Image","Democrat","Control"
"467","Female","26-30","White","Associate Degree","Republican",6,1,73,85,1,98,"Agree ","Strongly disagree ",1,1,1,3,"RCV","Vignette","Republican","Control"
"468","Male","31-35","White","Bachelor's Degree","Strong Democrat",1,1,95,0,70,0," Strongly agree"," Strongly agree",1,1,3,5,"DTI","Image","Democrat","Treatment"
"469","Male","31-35","White","Bachelor's Degree","Independent",4,0,10,96,8,60," Neither agree nor disagree"," Somewhat disagree",1,1,1,3,"DTI","Image","Democrat","Treatment"
"470","Female","31-35","White","Bachelor's Degree","Strong Democrat",1,1,2,1,5,1," Agree"," Somewhat agree",2,1,2,5,"DTI","Image","Democrat","Treatment"
"471","Male","31-35","White","Bachelor's Degree","Republican",6,1,56,68,51,63,"Somewhat disagree ","Neither agree nor disagree ",2,3,4,9,"RTV","Vignette","Republican","Treatment"
"472","Female","26-30","Hispanic or Latino/a","Some college credit, no degree","Democrat",2,1,49,49,49,50," Strongly agree"," Neither agree nor disagree",1,1,1,3,"DTG","Graph","Democrat","Treatment"
"473","Female","26-30","Asian or Asian American","Bachelor's Degree","Strong Democrat",1,1,100,74,92,100," Agree"," Strongly agree",1,2,3,6,"DTI","Image","Democrat","Treatment"
"474","Non-binary / third gender","26-30","White","Some college credit, no degree","Independent",4,0,100,90,100,10,"Neither agree nor disagree ","Neither agree nor disagree ",1,1,1,3,"RCV","Vignette","Republican","Control"
"475","Male","31-35","Black or African American","Associate Degree","Strong Democrat",1,1,100,90,100,0," Strongly agree"," Strongly agree",1,1,1,3,"DTG","Graph","Democrat","Treatment"
"476","Male","18-25","White,Hispanic or Latino/a","Some college credit, no degree","Independent",4,0,50,50,50,50," Neither agree nor disagree"," Neither agree nor disagree",1,1,1,3,"DCG","Graph","Democrat","Control"
"477","Male","36-40","Asian or Asian American","Bachelor's Degree","Lean Democrat",3,1,100,100,60,50," Somewhat agree"," Somewhat disagree",1,1,1,3,"DTV","Vignette","Democrat","Treatment"
"478","Male","51+","White","Some college credit, no degree","Democrat",2,1,100,25,100,10," Strongly agree"," Strongly disagree",1,1,1,3,"DTV","Vignette","Democrat","Treatment"
"479","Male","36-40","Asian or Asian American","Bachelor's Degree","Independent",4,0,94,90,53,41," Agree"," Agree",2,3,2,7,"DCI","Image","Democrat","Control"
"480","Female","31-35","Asian or Asian American","Bachelor's Degree","Republican",6,1,75,81,90,81,"Agree ","Strongly agree ",3,3,3,9,"RCG","Graph","Republican","Control"
"481","Male","46-50","White","Master's Degree","Independent",4,0,75,75,30,30,"Strongly agree ","Somewhat agree ",1,1,1,3,"RTV","Vignette","Republican","Treatment"
"482","Male","26-30","White","Bachelor's Degree","Strong Republican",7,1,90,97,97,90,"Strongly agree ","Agree ",3,4,4,11,"RTG","Graph","Republican","Treatment"
"483","Male","36-40","Asian or Asian American","Bachelor's Degree","Independent",4,0,82,86,65,69," Agree"," Somewhat agree",3,3,4,10,"DCV","Vignette","Democrat","Control"
"484","Male","26-30","Asian or Asian American","Bachelor's Degree","Strong Democrat",1,1,94,80,83,95," Strongly agree"," Agree",3,2,2,7,"DTV","Vignette","Democrat","Treatment"
"485","Male","36-40","Asian or Asian American","Master's Degree","Independent",4,0,73,63,74,66,"Neither agree nor disagree ","Agree ",2,2,3,7,"RTG","Graph","Republican","Treatment"
"486","Male","26-30","Black or African American","Bachelor's Degree","Democrat",2,1,90,60,89,55," Strongly agree"," Strongly agree",1,1,1,3,"DTG","Graph","Democrat","Treatment"
"487","Male","46-50","White","Bachelor's Degree","Lean Democrat",3,1,100,100,94,87," Agree"," Disagree",1,1,1,3,"DCG","Graph","Democrat","Control"
"488","Male","31-35","Black or African American,American Indian or Alaska Native","Associate Degree","Democrat",2,1,34,20,24,40," Agree"," Somewhat agree",2,2,3,7,"DCG","Graph","Democrat","Control"
"489","Female","31-35","Asian or Asian American","Bachelor's Degree","Democrat",2,1,77,57,61,43," Somewhat agree"," Neither agree nor disagree",2,2,3,7,"DTI","Image","Democrat","Treatment"
"490","Female","26-30","White","Bachelor's Degree","Democrat",2,1,100,100,59,38," Neither agree nor disagree"," Disagree",1,1,1,3,"DTV","Vignette","Democrat","Treatment"
"491","Male","18-25","Asian or Asian American","Bachelor's Degree","Strong Republican",7,1,49,83,60,82,"Somewhat agree ","Agree ",3,4,4,11,"RTI","Image","Republican","Treatment"
